

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
EXCL,2019-08-26,3300,3300,-30,-0.90,2328900,
EXCL,2019-08-25,3380,3330,-20,-0.60,6255300,
EXCL,2019-08-24,3380,3330,-20,-0.60,6255300,
EXCL,2019-08-23,3380,3330,-20,-0.60,6255300,
EXCL,2019-08-22,3290,3350,80,2.40,14523300,
EXCL,2019-08-21,3250,3270,20,0.60,12651500,
EXCL,2019-08-20,3260,3250,0,0.00,10764600,
EXCL,2019-08-19,3250,3250,0,0.00,12462100,
EXCL,2019-08-18,3300,3250,-70,-2.10,13561000,
EXCL,2019-08-17,3300,3250,-70,-2.10,13561000,
EXCL,2019-08-16,3300,3250,-70,-2.10,13561000,
EXCL,2019-08-15,3360,3320,-40,-1.20,11339100,
EXCL,2019-08-14,3400,3360,20,0.60,8527800,
EXCL,2019-08-13,3360,3340,-20,-0.60,13759200,
EXCL,2019-08-12,3310,3360,50,1.50,8831500,
EXCL,2019-08-11,3390,3310,-40,-1.20,6504300,
EXCL,2019-08-10,3390,3310,-40,-1.20,6504300,
EXCL,2019-08-09,3390,3310,-40,-1.20,6504300,
EXCL,2019-08-08,3320,3350,50,1.50,17136900,
EXCL,2019-08-07,3170,3300,160,5.10,11495800,
EXCL,2019-08-06,3090,3170,40,1.30,12607800,
EXCL,2019-08-05,3220,3130,-130,-4.00,13043600,
EXCL,2019-08-04,3270,3260,-20,-0.60,10374400,
EXCL,2019-08-03,3270,3260,-20,-0.60,10374400,
EXCL,2019-08-02,3270,3260,-20,-0.60,10374400,
EXCL,2019-08-01,3230,3300,70,2.20,7447100,
EXCL,2019-07-31,3360,3230,-70,-2.10,13820700,
EXCL,2019-07-30,3390,3300,30,0.90,47197900,
EXCL,2019-07-29,3180,3270,100,3.20,8809600,
EXCL,2019-07-28,3280,3170,-80,-2.50,14060600,
EXCL,2019-07-27,3280,3170,-80,-2.50,14060600,
EXCL,2019-07-26,3280,3170,-80,-2.50,14060600,
EXCL,2019-07-25,3120,3250,130,4.20,27474800,
EXCL,2019-07-24,3160,3120,-40,-1.27,7569800,
EXCL,2019-07-19,3110,3110,0,0.00,10942200,
EXCL,2019-07-18,2980,3110,130,4.36,21650300,
EXCL,2019-07-17,2940,2980,40,1.36,9777300,
EXCL,2019-07-16,2930,2940,10,0.34,7216200,
EXCL,2019-07-15,2860,2930,70,2.45,7362100,
EXCL,2019-07-12,2900,2860,-40,-1.38,5579900,
EXCL,2019-07-11,2890,2900,10,0.35,4126000,
EXCL,2019-07-10,2930,2890,-40,-1.37,4467600,
EXCL,2019-07-09,2860,2930,70,2.45,2796200,
EXCL,2019-07-08,2900,2860,-40,-1.38,3213600,
EXCL,2019-07-05,2850,2900,50,1.75,8873400,
EXCL,2019-07-04,2860,2850,-10,-0.35,7483000,
EXCL,2019-07-03,2960,2860,-100,-3.38,7888800,
EXCL,2019-07-02,2990,2960,-30,-1.00,4694000,
EXCL,2019-07-01,2980,2990,10,0.34,7193000,
EXCL,2019-06-28,2920,2980,60,2.05,16338700,
EXCL,2019-06-27,2920,2920,0,0.00,4830300,
EXCL,2019-06-26,2860,2920,60,2.10,4080800,
EXCL,2019-06-25,2860,2860,0,0.00,4768200,
EXCL,2019-06-24,2900,2860,-40,-1.38,2968700,
EXCL,2019-06-21,2990,2900,-90,-3.01,8630700,
EXCL,2019-06-20,2950,2990,40,1.36,10083200,
EXCL,2019-06-19,2910,2950,40,1.37,7574200,
EXCL,2019-06-18,2850,2910,60,2.11,6053800,
EXCL,2019-06-17,2860,2850,-10,-0.35,2026100,
EXCL,2019-06-14,2860,2860,0,0.00,5537200,
EXCL,2019-06-13,2900,2860,-40,-1.38,8567800,
EXCL,2019-06-12,2940,2900,-40,-1.36,6123100,
EXCL,2019-06-11,2940,2940,0,0.00,5801400,
EXCL,2019-06-10,2860,2940,80,2.80,14450100,
EXCL,2019-05-31,2900,2860,-40,-1.38,20433200,
EXCL,2019-05-29,2790,2900,110,3.94,9654100,
EXCL,2019-05-28,2810,2790,-20,-0.71,4355000,
EXCL,2019-05-27,2790,2810,20,0.72,9575700,
EXCL,2019-05-24,2740,2790,50,1.82,7215000,
EXCL,2019-05-23,2640,2740,100,3.79,10154800,
EXCL,2019-05-22,2670,2640,-30,-1.12,2000400,
EXCL,2019-05-21,2650,2670,20,0.75,5280300,
EXCL,2019-05-20,2540,2650,110,4.33,9392800,
EXCL,2019-05-17,2560,2540,-20,-0.78,7490000,
EXCL,2019-05-16,2650,2560,-90,-3.40,6731200,
EXCL,2019-05-15,2770,2650,-120,-4.33,14982700,
EXCL,2019-05-14,2760,2770,10,0.36,15250000,
EXCL,2019-05-13,2930,2760,-170,-5.80,14260300,
EXCL,2019-05-10,2960,2930,-30,-1.01,15030400,
EXCL,2019-05-09,2960,2960,0,0.00,11767700,
EXCL,2019-05-08,2980,2960,-20,-0.67,12287700,
EXCL,2019-05-07,2850,2980,130,4.56,43528900,
