

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
ISAT,2019-08-26,3270,3380,110,3.40,5782400,
ISAT,2019-08-25,3550,3270,-260,-7.40,10083600,
ISAT,2019-08-24,3550,3270,-260,-7.40,10083600,
ISAT,2019-08-23,3550,3270,-260,-7.40,10083600,
ISAT,2019-08-22,3680,3530,-130,-3.60,7898900,
ISAT,2019-08-21,3600,3660,60,1.70,9400700,
ISAT,2019-08-20,3850,3600,-230,-6.00,12121400,
ISAT,2019-08-19,3680,3830,180,4.90,16822700,
ISAT,2019-08-18,3630,3650,20,0.60,4281000,
ISAT,2019-08-17,3630,3650,20,0.60,4281000,
ISAT,2019-08-16,3630,3650,20,0.60,4281000,
ISAT,2019-08-15,3720,3630,-110,-2.90,5831800,
ISAT,2019-08-14,3700,3740,60,1.60,12311300,
ISAT,2019-08-13,3610,3680,80,2.20,21746500,
ISAT,2019-08-12,3360,3600,250,7.50,17077300,
ISAT,2019-08-11,3300,3350,20,0.60,4616200,
ISAT,2019-08-10,3300,3350,20,0.60,4616200,
ISAT,2019-08-09,3300,3350,20,0.60,4616200,
ISAT,2019-08-08,3350,3330,-30,-0.90,12595500,
ISAT,2019-08-07,3140,3360,240,7.70,16043500,
ISAT,2019-08-06,3120,3140,-50,-1.60,11718900,
ISAT,2019-08-05,3230,3240,-20,-0.60,5753100,
ISAT,2019-08-04,3380,3260,-120,-3.60,14477300,
ISAT,2019-08-03,3380,3260,-120,-3.60,14477300,
ISAT,2019-08-02,3380,3260,-120,-3.60,14477300,
ISAT,2019-08-01,3410,3380,-30,-0.90,2941500,
ISAT,2019-07-31,3370,3410,40,1.20,18259500,
ISAT,2019-07-30,3380,3370,10,0.30,17744600,
ISAT,2019-07-29,3150,3360,220,7.00,22775100,
ISAT,2019-07-28,3040,3140,100,3.30,39478000,
ISAT,2019-07-27,3040,3140,100,3.30,39478000,
ISAT,2019-07-26,3040,3140,100,3.30,39478000,
ISAT,2019-07-25,2770,3040,310,11.40,54471300,
ISAT,2019-07-24,2740,2730,-10,-0.36,6004000,
ISAT,2019-07-19,2760,2760,0,0.00,4375700,
ISAT,2019-07-18,2820,2760,-60,-2.13,5332800,
ISAT,2019-07-17,2890,2820,-70,-2.42,9813700,
ISAT,2019-07-16,2760,2890,130,4.71,19537000,
ISAT,2019-07-15,2700,2760,60,2.22,5789700,
ISAT,2019-07-12,2770,2700,-70,-2.53,8649300,
ISAT,2019-07-11,2830,2770,-60,-2.12,29054400,
ISAT,2019-07-10,2630,2830,200,7.60,24307300,
ISAT,2019-07-09,2630,2630,0,0.00,4449300,
ISAT,2019-07-08,2710,2630,-80,-2.95,3958400,
ISAT,2019-07-05,2660,2710,50,1.88,8320300,
ISAT,2019-07-04,2580,2660,80,3.10,12223700,
ISAT,2019-07-03,2730,2580,-150,-5.49,10547000,
ISAT,2019-07-02,2810,2730,-80,-2.85,19041600,
ISAT,2019-07-01,2630,2810,180,6.84,26080900,
ISAT,2019-06-28,2580,2630,50,1.94,10826600,
ISAT,2019-06-27,2710,2580,-130,-4.80,14810800,
ISAT,2019-06-26,2350,2710,360,15.32,28443400,
ISAT,2019-06-25,2370,2350,-20,-0.84,4624500,
ISAT,2019-06-24,2370,2370,0,0.00,11715200,
ISAT,2019-06-21,2200,2370,170,7.73,27318900,
ISAT,2019-06-20,2000,2200,200,10.00,17066200,
ISAT,2019-06-19,1975,2000,25,1.27,1207400,
ISAT,2019-06-18,1990,1975,-15,-0.75,1224200,
ISAT,2019-06-17,1955,1990,35,1.79,2495700,
ISAT,2019-06-14,1945,1955,10,0.51,2226100,
ISAT,2019-06-13,2030,1945,-85,-4.19,6463400,
ISAT,2019-06-12,2100,2030,-70,-3.33,4245400,
ISAT,2019-06-11,2100,2100,0,0.00,4080100,
ISAT,2019-06-10,2050,2100,50,2.44,6535700,
ISAT,2019-05-31,1995,2050,55,2.76,11512300,
ISAT,2019-05-29,1975,1995,20,1.01,2740900,
ISAT,2019-05-28,2000,1975,-25,-1.25,7819200,
ISAT,2019-05-27,1895,2000,105,5.54,11004000,
ISAT,2019-05-24,1925,1895,-30,-1.56,5236100,
ISAT,2019-05-23,1800,1925,125,6.94,6189200,
ISAT,2019-05-22,1800,1800,0,0.00,1640300,
