

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
TLKM,2019-08-26,4290,4320,-60,-1.40,22239600,
TLKM,2019-08-25,4390,4380,-70,-1.60,83823904,
TLKM,2019-08-24,4390,4380,-70,-1.60,83823904,
TLKM,2019-08-23,4390,4380,-70,-1.60,83823904,
TLKM,2019-08-22,4380,4450,40,0.90,110969000,
TLKM,2019-08-21,4460,4410,-60,-1.30,99649296,
TLKM,2019-08-20,4350,4470,130,3.00,143172000,
TLKM,2019-08-19,4340,4340,60,1.40,86011296,
TLKM,2019-08-18,4300,4280,-10,-0.20,51853900,
TLKM,2019-08-17,4300,4280,-10,-0.20,51853900,
TLKM,2019-08-16,4300,4280,-10,-0.20,51853900,
TLKM,2019-08-15,4200,4290,0,0.00,97255504,
TLKM,2019-08-14,4300,4290,40,0.90,84928200,
TLKM,2019-08-13,4290,4250,-10,-0.20,98757904,
TLKM,2019-08-12,4300,4260,0,0.00,41817800,
TLKM,2019-08-11,4290,4260,0,0.00,89600496,
TLKM,2019-08-10,4290,4260,0,0.00,89600496,
TLKM,2019-08-09,4290,4260,0,0.00,89600496,
TLKM,2019-08-08,4270,4260,50,1.20,95204000,
TLKM,2019-08-07,4230,4210,80,1.90,104786000,
TLKM,2019-08-06,4060,4160,80,2.00,72808600,
TLKM,2019-08-05,4200,4150,-130,-3.00,60593100,
TLKM,2019-08-04,4280,4280,0,0.00,82253800,
TLKM,2019-08-03,4280,4280,0,0.00,82253800,
TLKM,2019-08-02,4280,4280,0,0.00,82253800,
TLKM,2019-08-01,4300,4280,-20,-0.50,27204600,
TLKM,2019-07-31,4240,4300,30,0.70,172610000,
TLKM,2019-07-30,4270,4270,70,1.70,88417200,
TLKM,2019-07-29,4150,4200,40,1.00,44515800,
TLKM,2019-07-28,4160,4160,-50,-1.20,70952400,
TLKM,2019-07-27,4160,4160,-50,-1.20,70952400,
TLKM,2019-07-26,4160,4160,-50,-1.20,70952400,
TLKM,2019-07-25,4160,4210,20,0.50,49276300,
TLKM,2019-07-24,4250,4190,-60,-1.41,73904300,
TLKM,2019-07-19,4240,4270,30,0.71,60692800,
TLKM,2019-07-18,4230,4240,10,0.24,45408100,
TLKM,2019-07-17,4240,4230,-10,-0.24,32069800,
TLKM,2019-07-16,4280,4240,-40,-0.93,45461500,
TLKM,2019-07-15,4180,4280,100,2.39,66960500,
TLKM,2019-07-12,4270,4180,-90,-2.11,57088600,
TLKM,2019-07-11,4290,4270,-20,-0.47,25645900,
TLKM,2019-07-10,4350,4290,-60,-1.38,62529900,
TLKM,2019-07-09,4270,4350,80,1.87,124822400,
TLKM,2019-07-08,4280,4270,-10,-0.23,57903400,
TLKM,2019-07-05,4250,4280,30,0.71,50332800,
TLKM,2019-07-04,4240,4250,10,0.24,38459300,
TLKM,2019-07-03,4250,4240,-10,-0.24,63296200,
TLKM,2019-07-02,4220,4250,30,0.71,87999800,
TLKM,2019-07-01,4140,4220,80,1.93,79382300,
TLKM,2019-06-28,4090,4140,50,1.22,130153100,
TLKM,2019-06-27,3980,4090,110,2.76,94221200,
TLKM,2019-06-26,4010,3980,-30,-0.75,56092200,
TLKM,2019-06-25,3980,4010,30,0.75,42601100,
